date,entropy
2024-12-19,0.0
2024-12-18,0.34258758758259444
2024-12-17,1.4245678271582916
2024-12-16,1.7176372599449774
2024-12-15,1.8459489858534233
2024-12-14,1.8998386801011233
2024-12-13,1.7619299475162205
2024-12-12,1.825303921902115
2024-12-11,1.6536746208065405
2024-12-10,1.7192471056241896
2024-12-09,1.6819282588753408
2024-12-08,1.6267175936201017
2024-12-07,1.6223307455718117
2024-12-06,1.7348548749271133
2024-12-05,1.7947726665862818
2024-12-04,1.7145910424966315
2024-12-03,0.0
2024-12-02,0.0
2024-12-01,0.0
2024-11-30,0.0
2024-11-29,0.0
2024-11-28,0.0
2024-11-27,0.0
2024-11-26,0.0
2024-11-25,0.0
2024-11-24,0.0
2024-11-23,0.0
2024-11-22,0.0
2024-11-21,0.0
2024-11-20,0.0
2024-11-19,0.0
